QD,LT,MQ,VALOR_MQ,VALOR_BASE,ENTRADA,SITUACAO
2,14,"705,00","115,00","81.075,00","3.000,00",V
2,15,"717,00","115,00","82.455,00","3.000,00",V
2,17,"887,00","115,00","102.005,00","3.000,00",V
3,21,"597,00","70,00","41.790,00","1.900,00",V
3,22,"598,00","70,00","41.860,00","1.900,00",V
3,23,"598,00","70,00","41.860,00","1.900,00",V
3,24,"599,00","70,00","41.930,00","1.900,00",V
3,25,"599,00","70,00","41.930,00","1.900,00",V
3,37,"642,00","115,00","73.830,00","3.000,00",V
3,41,"337,00","115,00","38.755,00","3.000,00",V
3,42,"487,00","115,00","56.005,00","3.000,00",V
4,7,"400,00","74,98","29.990,00","1.900,00",V
4,8,"400,00","74,98","29.990,00","1.900,00",V
4,19,"400,00","74,98","29.990,00","1.900,00",V
5,6,"400,00","74,98","29.990,00","1.900,00",V
5,9,"400,00","74,98","29.990,00","1.900,00",V
5,10,"344,00","110,00","37.840,00","1.900,00",V
5,11,"344,00","110,00","37.840,00","1.900,00",V
5,12,"343,00","110,00","37.730,00","1.900,00",V
5,13,"343,00","110,00","37.730,00","1.900,00",V
7,16,"335,00","110,00","36.850,00","1.900,00",V
9,22,"400,00","74,98","29.990,00","1.900,00",V
9,23,"400,00","74,98","29.990,00","1.900,00",V
9,24,"400,00","74,98","29.990,00","1.900,00",V
9,25,"400,00","74,98","29.990,00","1.900,00",V
10,1,"350,00","56,86","19.900,00","1.900,00",V
10,2,"350,00","56,86","19.900,00","1.900,00",V
10,3,"350,00","77,11","26.990,00","1.900,00",V
10,4,"350,00","56,86","19.900,00","1.900,00",V
11,6,"350,00","56,86","19.900,00","1.900,00",V
11,24,"350,00","77,11","26.990,00","1.900,00",V
11,25,"350,00","77,11","26.990,00","1.900,00",V
14,1,"350,00","56,86","19.900,00","1.900,00",V
14,2,"350,00","77,11","26.990,00","1.900,00",V
14,3,"350,00","56,86","19.900,00","1.900,00",V
14,7,"350,00","56,86","19.900,00","1.900,00",V
